country,country_code,trade_pct_gdp_resid
Aruba,ABW,57.815668249240545
Afghanistan,AFG,-10.843936749369881
Angola,AGO,-8.076142556782152
Albania,ALB,-2.1815506312778012
Arab World,ARB,11.526652973291249
United Arab Emirates,ARE,80.69984122678937
Argentina,ARG,-63.133997488841494
Armenia,ARM,-0.687016913015654
Antigua and Barbuda,ATG,6.283105494921898
Australia,AUS,-46.67548867823229
Austria,AUT,13.040543238284954
Azerbaijan,AZE,-7.495653113332963
Burundi,BDI,-41.737918397343485
Belgium,BEL,72.21910152980504
Benin,BEN,-7.397125334087477
Burkina Faso,BFA,-17.767634664796866
Bangladesh,BGD,-25.441161466590685
Bulgaria,BGR,47.088433445334246
Bahrain,BHR,65.74077308177804
"Bahamas, The",BHS,-13.543260235771285
Bosnia and Herzegovina,BIH,14.108570151526067
Belarus,BLR,34.60677500770892
Belize,BLZ,50.21230355064155
Bolivia,BOL,-2.9298505655531244
Brazil,BRA,-49.32159874866176
Barbados,BRB,-0.5364723395074549
Brunei Darussalam,BRN,-11.78690558731823
Bhutan,BTN,24.53071911398561
Botswana,BWA,29.10576933389278
Central African Republic,CAF,-17.27845368595427
Canada,CAN,-22.28464308543259
Central Europe and the Baltics,CEB,34.11657375432695
Switzerland,CHE,20.957973358519325
Chile,CHL,-29.88754705406476
China,CHN,-35.63128206219341
Cote d'Ivoire,CIV,4.316612924578834
Cameroon,CMR,-17.831460316883394
"Congo, Dem. Rep.",COD,-5.386058549205671
"Congo, Rep.",COG,95.66212667672023
Colombia,COL,-36.38997627563476
Comoros,COM,-29.854700795355512
Cabo Verde,CPV,33.74349383072877
Costa Rica,CRI,-13.811878790320343
Cyprus,CYP,41.31728715317389
Czech Republic,CZE,68.32187932150488
Germany,DEU,-2.8390164222340246
Dominica,DMA,34.20632071383119
Denmark,DNK,15.24869790188238
Dominican Republic,DOM,-21.051571870545054
Algeria,DZA,-15.500464956474815
East Asia & Pacific (excluding high income),EAP,-24.920526499069325
Early-demographic dividend,EAR,-19.98730349922718
East Asia & Pacific,EAS,-19.162931625852814
Europe & Central Asia (excluding high income),ECA,-23.714589272237134
Europe & Central Asia,ECS,-6.8964784035875795
Ecuador,ECU,-28.655774039273417
"Egypt, Arab Rep.",EGY,-38.75998081903495
Euro area,EMU,-2.202675877651558
Spain,ESP,-24.197357595637342
Estonia,EST,65.86907646600748
Ethiopia,ETH,-25.980695349185943
European Union,EUU,-4.169869218104239
Fragile and conflict affected situations,FCS,3.9401050827462853
Finland,FIN,-13.863623025390922
Fiji,FJI,32.97185388981558
France,FRA,-25.466371822506098
"Micronesia, Fed. Sts.",FSM,36.07840819248639
Gabon,GAB,-6.473180488368186
United Kingdom,GBR,-30.7909531337134
Georgia,GEO,33.93612470733052
Ghana,GHA,7.307912830978793
Guinea,GIN,6.52696139671707
"Gambia, The",GMB,-17.593602147857233
Guinea-Bissau,GNB,-5.746936048434797
Equatorial Guinea,GNQ,11.675376051616965
Greece,GRC,-24.95699326313317
Grenada,GRD,40.054586572269514
Guatemala,GTM,-20.19845656598035
Guyana,GUY,28.94385838954034
High income,HIC,-26.79795021866346
"Hong Kong SAR, China",HKG,299.1596330545562
Honduras,HND,38.46997679635781
Heavily indebted poor countries (HIPC),HPC,-5.482860249227258
Croatia,HRV,4.938506501483772
Haiti,HTI,4.768061605681368
Hungary,HUN,82.9692342880019
IBRD only,IBD,-23.269439604906403
IDA & IBRD total,IBT,-22.651614929742223
IDA total,IDA,-21.509959244147517
IDA blend,IDB,-35.218278417296766
Indonesia,IDN,-31.788518777549378
IDA only,IDX,-9.863944447529931
India,IND,-28.232920958593255
Ireland,IRL,122.54525708474766
"Iran, Islamic Rep.",IRN,-40.61476099057836
Iraq,IRQ,0.4273626234648731
Iceland,ISL,10.527975286396256
Israel,ISR,-28.205011621366545
Italy,ITA,-30.718964842964304
Jamaica,JAM,3.910075423535176
Jordan,JOR,25.52464371664739
Japan,JPN,-51.62302201802543
Kazakhstan,KAZ,-36.04277885320989
Kenya,KEN,-22.981401934066554
Kyrgyz Republic,KGZ,43.317741392306004
Cambodia,KHM,60.161318572820235
Kiribati,KIR,43.95888766449451
St. Kitts and Nevis,KNA,24.136189518104572
"Korea, Rep.",KOR,-4.087137240523717
Kuwait,KWT,3.5178770712014114
Latin America & Caribbean (excluding high income),LAC,-31.454184057252114
Lao PDR,LAO,15.620483145167384
Lebanon,LBN,-2.533150265114486
Liberia,LBR,60.77714459507044
Libya,LBY,37.77501170511658
St. Lucia,LCA,7.611125682674114
Latin America & Caribbean,LCN,-32.1794252690552
Least developed countries: UN classification,LDC,-12.898281205458474
Low income,LIC,-9.629644250994808
Sri Lanka,LKA,-24.47168680568886
Lower middle income,LMC,-19.062780823021775
Low & middle income,LMY,-23.43540766113896
Lesotho,LSO,54.88533643942736
Late-demographic dividend,LTE,-18.760734091040483
Lithuania,LTU,64.87427280315451
Luxembourg,LUX,309.1438983574911
Latvia,LVA,32.04899064255093
"Macao SAR, China",MAC,14.674525472577002
Morocco,MAR,5.689781389638711
Moldova,MDA,47.44489190080763
Madagascar,MDG,2.15343015051684
Maldives,MDV,68.67178524639294
Middle East & North Africa,MEA,-2.396472734060424
Mexico,MEX,-7.774659356575313
Marshall Islands,MHL,74.53203627290783
Middle income,MIC,-24.022217794863195
"Macedonia, FYR",MKD,38.912562610828644
Mali,MLI,-2.472935935066012
Malta,MLT,184.64052692604736
Myanmar,MMR,-22.165385147491854
Middle East & North Africa (excluding high income),MNA,-16.889259459016586
Montenegro,MNE,25.43334737208636
Mongolia,MNG,16.14930353433057
