country,country_code,tax_revenue_pct_gdp_resid
Afghanistan,AFG,-8.450692542448826
Angola,AGO,-4.511732712821027
Albania,ALB,3.3925571691644656
United Arab Emirates,ARE,-18.336852362062583
Argentina,ARG,-3.8386376313228467
Armenia,ARM,5.572348224922706
Australia,AUS,3.155518179624085
Austria,AUT,8.218660300907214
Azerbaijan,AZE,0.06227504615202406
Belgium,BEL,5.711355013961235
Burkina Faso,BFA,-0.9833338396082905
Bangladesh,BGD,-7.393770873053354
Bulgaria,BGR,4.552366955849843
"Bahamas, The",BHS,-5.578522871333989
Bosnia and Herzegovina,BIH,4.812407854675156
Belarus,BLR,-1.5076382269206245
Brazil,BRA,-2.2763400718800373
Barbados,BRB,10.644798254759465
Bhutan,BTN,-1.6364452206690192
Botswana,BWA,9.54899274917302
Canada,CAN,-6.703252474378351
Central Europe and the Baltics,CEB,-0.14357530094290638
Switzerland,CHE,-7.620982609359077
Chile,CHL,0.6624571445478118
China,CHN,-5.574549466248664
Cote d'Ivoire,CIV,-0.43225353122114285
Colombia,COL,0.026783214271747013
Costa Rica,CRI,-1.4522678707127579
Caribbean small states,CSS,8.837529709659172
Cyprus,CYP,5.600082525653477
Czech Republic,CZE,-4.26278195188975
Germany,DEU,-7.380166253940539
Denmark,DNK,15.273596859951645
Dominican Republic,DOM,-1.6913654182813254
East Asia & Pacific (excluding high income),EAP,-4.935993186839953
East Asia & Pacific,EAS,-3.3183611956709154
Europe & Central Asia (excluding high income),ECA,-1.7524260070028301
Europe & Central Asia,ECS,0.8083795249357948
"Egypt, Arab Rep.",EGY,-2.6716078351773067
Euro area,EMU,-0.335530962311978
Spain,ESP,-4.574986793378605
Estonia,EST,3.88126701254507
European Union,EUU,0.9562115571136331
Finland,FIN,1.4817860846909134
Fiji,FJI,10.150246854746259
France,FRA,3.939196095965766
"Micronesia, Fed. Sts.",FSM,-10.436293904498072
United Kingdom,GBR,5.942426635601418
Georgia,GEO,8.491931497141266
Equatorial Guinea,GNQ,-6.724343130025737
Greece,GRC,7.180006567037413
Guatemala,GTM,-5.234798332787474
High income,HIC,-3.668936676253038
Honduras,HND,1.5813896330722237
Hungary,HUN,5.799340167598636
IBRD only,IBD,-2.8632694833640464
IDA & IBRD total,IBT,-3.004796387569151
Indonesia,IDN,-4.4154752387766365
Ireland,IRL,0.7646391542591857
Iraq,IRQ,-13.868047339170795
Iceland,ISL,4.683779813689146
Israel,ISR,4.243317483671159
Italy,ITA,4.227634445277143
Jamaica,JAM,9.451352967596167
Japan,JPN,-7.843211056439852
Kazakhstan,KAZ,-7.538403186635497
Kenya,KEN,0.3323457437405004
Kyrgyz Republic,KGZ,0.9209508691440043
Cambodia,KHM,-1.7066849522221883
Kiribati,KIR,6.067347943320822
"Korea, Rep.",KOR,-5.098110988343377
Kuwait,KWT,-17.242304496550766
Latin America & Caribbean (excluding high income),LAC,-1.835213151709688
Lao PDR,LAO,-2.1019593871438804
Lebanon,LBN,-1.4753601602535102
Latin America & Caribbean,LCN,-1.7047399014819131
Sri Lanka,LKA,-2.7334484574199323
Low & middle income,LMY,-3.248157084015128
Lesotho,LSO,24.57825731648802
Late-demographic dividend,LTE,-3.960519909604864
Lithuania,LTU,-1.4623622322072478
Luxembourg,LUX,4.458949967140271
Latvia,LVA,5.47329583786831
"Macao SAR, China",MAC,8.09027279201543
Moldova,MDA,3.787921981738293
Mexico,MEX,-2.600049375775754
Marshall Islands,MHL,1.6646522974401439
Middle income,MIC,-3.187216361723742
"Macedonia, FYR",MKD,1.8553870751074797
Mali,MLI,-1.9283167214417531
Malta,MLT,6.548517648242871
Myanmar,MMR,-9.677114671466683
Mongolia,MNG,-3.325279781961747
Mozambique,MOZ,5.80370577238741
Mauritius,MUS,-7.119483823006416
Malawi,MWI,-0.8707479116376575
Malaysia,MYS,-3.4661883172287276
North America,NAC,-6.6134865716583615
Namibia,NAM,17.316447596009514
Nicaragua,NIC,0.07565313162838017
Netherlands,NLD,2.8597976729675025
Norway,NOR,4.742989923843126
Nepal,NPL,0.7290198788100781
New Zealand,NZL,8.15185632788577
OECD members,OED,-3.763611375233115
Peru,PER,-0.15073449986641307
Philippines,PHL,-1.8629908848513157
Palau,PLW,4.284716603172656
Papua New Guinea,PNG,0.21084292994508402
Poland,POL,-2.11148549572985
Portugal,PRT,4.648861305417427
Paraguay,PRY,-5.3594292802800645
West Bank and Gaza,PSE,-10.123704342898048
Pacific island small states,PSS,7.244425319523833
Post-demographic dividend,PST,-3.6499008422112666
Romania,ROU,2.395420682136244
Russian Federation,RUS,-6.693388152813549
Rwanda,RWA,-2.343240495355353
Senegal,SEN,-0.07949855453490606
Singapore,SGP,-6.372355330473052
Solomon Islands,SLB,13.156944659578873
El Salvador,SLV,1.4738406862674243
San Marino,SMR,-0.7103656542054715
Slovak Republic,SVK,-0.612881173326425
Slovenia,SVN,0.01732618903690053
Sweden,SWE,8.244549731566426
Seychelles,SYC,11.896317043426208
East Asia & Pacific (IDA & IBRD countries),TEA,-4.925571007788177
Europe & Central Asia (IDA & IBRD countries),TEC,-1.6972936430014833
Togo,TGO,2.880100014890484
Thailand,THA,0.9218703248190927
Latin America & the Caribbean (IDA & IBRD countries),TLA,-1.7017290186914078
Timor-Leste,TLS,3.0895116815995145
Trinidad and Tobago,TTO,8.346182307539284
Turkey,TUR,0.9141510607424941
Uganda,UGA,-3.1222265980254917
Ukraine,UKR,5.020822478580378
Upper middle income,UMC,-3.256794397324125
Uruguay,URY,2.1580195878890684
United States,USA,-6.5637750846100715
Uzbekistan,UZB,1.8532662709976808
Vanuatu,VUT,0.817819382531658
World,WLD,-0.6024925320942103
Samoa,WSM,7.047854984780249
South Africa,ZAF,12.322595661707469
Zambia,ZMB,0.9924432717716254
