,country,country_code,mobile_phone_subscriptions_pct_pop_resid
0,Aruba,ABW,8.153954488568289
1,Afghanistan,AFG,-10.968450036157307
2,Angola,AGO,-41.757857896167124
3,Albania,ALB,6.628644914232112
4,United Arab Emirates,ARE,63.708390073203816
5,Argentina,ARG,17.342985590024398
6,Armenia,ARM,20.364818885588306
7,Antigua and Barbuda,ATG,50.736198616315164
8,Australia,AUS,-19.174095445668698
9,Austria,AUT,27.394450667459523
10,Azerbaijan,AZE,-11.843364671028851
11,Burundi,BDI,-15.235309769059299
12,Belgium,BEL,-14.209543985340517
13,Benin,BEN,17.84719758049883
14,Burkina Faso,BFA,11.349278809786284
15,Bangladesh,BGD,5.901296959392198
16,Bulgaria,BGR,4.6202098543041075
17,Bahrain,BHR,56.12168511772134
18,"Bahamas, The",BHS,-45.45679219053201
19,Bosnia and Herzegovina,BIH,-12.285637295209398
20,Belarus,BLR,-2.910561984812418
21,Belize,BLZ,-38.618391607258445
22,Bolivia,BOL,3.6966802209709044
23,Brazil,BRA,4.95041398955054
24,Barbados,BRB,-5.04529691969023
25,Brunei Darussalam,BRN,-23.78372661077661
26,Bhutan,BTN,-10.619085927598931
27,Botswana,BWA,36.46087213959562
28,Central African Republic,CAF,-36.4700656840873
29,Canada,CAN,-44.49982709575055
30,Switzerland,CHE,4.5796989860239705
31,Chile,CHL,4.944610182833472
32,China,CHN,-25.41772882980524
33,Cote d'Ivoire,CIV,33.84742179330718
34,Cameroon,CMR,3.21010102818677
35,"Congo, Dem. Rep.",COD,-15.163449513254172
36,"Congo, Rep.",COG,17.783207727869836
37,Colombia,COL,2.702695812137293
38,Comoros,COM,-17.9893301862012
39,Cabo Verde,CPV,26.436098708626886
40,Costa Rica,CRI,36.44704027940165
41,Cayman Islands,CYM,26.98103060110921
42,Cyprus,CYP,5.791356633140481
43,Czech Republic,CZE,-8.913751142041448
44,Germany,DEU,-9.662385664520585
45,Dominica,DMA,-0.319609175562519
46,Denmark,DNK,-3.2363845819068757
47,Dominican Republic,DOM,-33.92110022963523
48,Algeria,DZA,-9.841913416055476
49,Ecuador,ECU,-28.807842726145353
50,"Egypt, Arab Rep.",EGY,-6.318044112037427
51,Spain,ESP,-16.567711938731946
52,Estonia,EST,18.844681479079995
53,Ethiopia,ETH,-25.757606919973476
54,Finland,FIN,7.85773498666974
55,Fiji,FJI,8.63928744175189
56,France,FRA,-23.55214737469167
57,"Micronesia, Fed. Sts.",FSM,-54.68946655352268
58,Gabon,GAB,22.93420779841685
59,United Kingdom,GBR,-5.849026418535871
60,Georgia,GEO,38.46544688179762
61,Ghana,GHA,48.13302419125134
62,Guinea,GIN,19.837580477560394
63,"Gambia, The",GMB,69.06031892602067
64,Guinea-Bissau,GNB,2.2361362069145656
65,Equatorial Guinea,GNQ,-80.46638154171536
66,Greece,GRC,-13.89884452304888
67,Grenada,GRD,-3.587169003618982
68,Guatemala,GTM,17.057813693663036
69,Guyana,GUY,-22.88419737042412
70,"Hong Kong SAR, China",HKG,101.77703316717287
71,Honduras,HND,8.753036485880813
72,Croatia,HRV,-21.469674405534732
73,Haiti,HTI,-0.5256915590349394
74,Hungary,HUN,-5.436826863356188
75,Indonesia,IDN,23.6750554262061
76,India,IND,-11.119953065725326
77,Ireland,IRL,-27.41383680318833
78,"Iran, Islamic Rep.",IRN,-29.359205605764345
79,Iraq,IRQ,-27.367702536056356
80,Iceland,ISL,-11.31284413805507
81,Israel,ISR,4.277210115766238
82,Italy,ITA,20.49740401384875
83,Jamaica,JAM,11.247087843671906
84,Jordan,JOR,50.95305926465845
85,Japan,JPN,-1.5428081613051745
86,Kazakhstan,KAZ,22.457203374528632
87,Kenya,KEN,5.6253236963636795
88,Kyrgyz Republic,KGZ,53.13951332360264
89,Cambodia,KHM,58.036495518778594
90,Kiribati,KIR,-33.60832368984826
