,country,country_code,trade_pct_gdp_resid
0,Aruba,ABW,51.4711790658108
1,Afghanistan,AFG,-14.328699904935299
2,Angola,AGO,-14.14545489520632
3,Albania,ALB,-10.585842186565074
4,United Arab Emirates,ARE,72.38034853655567
5,Argentina,ARG,-68.33622776644069
6,Armenia,ARM,-7.647339205883384
7,Antigua and Barbuda,ATG,1.3616322492169814
8,Australia,AUS,-54.36318997859055
9,Austria,AUT,4.922857952144383
10,Azerbaijan,AZE,-13.399046032501431
11,Burundi,BDI,-44.70226312146281
12,Belgium,BEL,64.65822589854197
13,Benin,BEN,-10.970739997153217
14,Burkina Faso,BFA,-21.153903121625397
15,Bangladesh,BGD,-29.57420373796417
16,Bulgaria,BGR,41.30789283402024
17,Bahrain,BHR,57.96331750085052
18,"Bahamas, The",BHS,-19.149280970539323
19,Bosnia and Herzegovina,BIH,5.704646360403899
20,Belarus,BLR,28.85742186726904
21,Belize,BLZ,43.347566039577316
22,Bolivia,BOL,-8.92763716306618
23,Brazil,BRA,-55.96732310333251
24,Barbados,BRB,-6.5094234847364305
25,Brunei Darussalam,BRN,-18.826088994758805
26,Bhutan,BTN,17.8130480264106
27,Botswana,BWA,22.59804290532496
28,Central African Republic,CAF,-20.19922834166045
29,Canada,CAN,-29.709169797500863
30,Switzerland,CHE,12.093938970072031
31,Chile,CHL,-34.51091674694978
32,China,CHN,-43.13350662365585
33,Cote d'Ivoire,CIV,0.12906926097842586
34,Cameroon,CMR,-22.042806075864107
35,"Congo, Dem. Rep.",COD,-8.397965180318238
36,"Congo, Rep.",COG,90.24470796545124
37,Colombia,COL,-44.31990312269934
38,Comoros,COM,-33.67350100576114
39,Cabo Verde,CPV,28.110794268358674
40,Costa Rica,CRI,-20.43272822258988
41,Cyprus,CYP,35.588442548577106
42,Czech Republic,CZE,62.39883718269746
43,Germany,DEU,-10.747195566702985
44,Dominica,DMA,26.082547713509925
45,Denmark,DNK,7.246300651575339
46,Dominican Republic,DOM,-28.681715879130756
47,Algeria,DZA,-22.877224406724864
48,Ecuador,ECU,-37.04054981752008
49,"Egypt, Arab Rep.",EGY,-46.97097236236361
50,Spain,ESP,-30.26071780743642
51,Estonia,EST,60.50738618065249
52,Ethiopia,ETH,-29.336731473650623
53,Finland,FIN,-20.72886859252189
54,Fiji,FJI,25.874097220496466
