country,country_code,migrant_stock
Aruba,ABW,34.7621018587146
Afghanistan,AFG,1.17554692684705
Angola,AGO,0.427004679966497
Albania,ALB,1.98903641031678
Andorra,AND,59.713649198984
Arab World,ARB,8.91430832434835
United Arab Emirates,ARE,88.40404837280659
Argentina,ARG,4.80529233472193
Armenia,ARM,6.33589288838696
American Samoa,ASM,41.8020094349815
Antigua and Barbuda,ATG,30.5855061099131
Australia,AUS,28.2184096915625
Austria,AUT,17.465726250517
Azerbaijan,AZE,2.7090615839625496
Burundi,BDI,2.5656322287276203
Belgium,BEL,12.283533194231902
Benin,BEN,2.2555409648442097
Burkina Faso,BFA,3.8920398529292406
Bangladesh,BGD,0.8837537353961421
Bulgaria,BGR,1.428196392424
Bahrain,BHR,51.12678500505
"Bahamas, The",BHS,15.284303088250802
Bosnia and Herzegovina,BIH,0.9133648399544829
Belarus,BLR,11.404010562114301
Belize,BLZ,14.990801225761
Bermuda,BMU,30.846397006644697
Bolivia,BOL,1.33326744185504
Brazil,BRA,0.34331320024167
Barbados,BRB,12.1299016589554
Brunei Darussalam,BRN,24.2759719084662
Bhutan,BTN,6.5957693945768705
Botswana,BWA,7.10033436685768
Central African Republic,CAF,1.6651721924121001
Canada,CAN,21.801663648343002
Central Europe and the Baltics,CEB,3.2784980374907797
Switzerland,CHE,29.386685541996304
Channel Islands,CHI,50.28162646922271
Chile,CHL,2.61551321666127
China,CHN,0.07107639629937201
Cote d'Ivoire,CIV,9.58259865535208
Cameroon,CMR,1.63631370372888
"Congo, Dem. Rep.",COD,0.70624628058302
"Congo, Rep.",COG,8.50579936930912
Colombia,COL,0.27604722697918704
Comoros,COM,1.59231629704974
Cabo Verde,CPV,2.86723201832078
Costa Rica,CRI,8.77100991087492
Caribbean small states,CSS,4.896057483583861
Cuba,CUB,0.11708966508106301
Curacao,CUW,23.925115932902003
Cayman Islands,CYM,39.5650941351076
Cyprus,CYP,16.834034154295
Czech Republic,CZE,3.8422256801691606
Germany,DEU,14.8790512953233
Djibouti,DJI,12.654120408487401
Dominica,DMA,9.246009906439179
Denmark,DNK,10.0989913532723
Dominican Republic,DOM,3.94707985294239
Algeria,DZA,0.6110720227303029
East Asia & Pacific (excluding high income),EAP,0.413520263310151
Early-demographic dividend,EAR,1.6460355515797298
East Asia & Pacific,EAS,1.13354526033843
Europe & Central Asia (excluding high income),ECA,6.8587962987937905
Europe & Central Asia,ECS,9.47409950176326
Ecuador,ECU,2.4002991013024197
"Egypt, Arab Rep.",EGY,0.537267286680377
Euro area,EMU,12.219103172069
Eritrea,ERI,
Spain,ESP,12.6902371918259
Estonia,EST,15.4163092221449
Ethiopia,ETH,1.07952601222951
European Union,EUU,10.725781681897802
Fragile and conflict affected situations,FCS,2.53708099811756
Finland,FIN,5.73968325726902
Fiji,FJI,1.54134137387981
France,FRA,12.0884793768866
Faroe Islands,FRO,11.4462955662981
"Micronesia, Fed. Sts.",FSM,2.63833046142064
Gabon,GAB,15.555859529865101
United Kingdom,GBR,13.200978246274
Georgia,GEO,4.22024835167253
Ghana,GHA,1.45739715218881
Gibraltar,GIB,34.3452214669274
Guinea,GIN,1.81156655898875
"Gambia, The",GMB,9.67088648285922
Guinea-Bissau,GNB,1.21090371816247
Equatorial Guinea,GNQ,1.28097413201429
Greece,GRC,11.342377373850699
Grenada,GRD,6.606131523519781
Greenland,GRL,10.6948350122806
Guatemala,GTM,0.46718767180629
Guam,GUM,44.7885334196663
Guyana,GUY,2.00551438236962
High income,HIC,13.241082392050801
"Hong Kong SAR, China",HKG,38.949939921649104
Honduras,HND,0.3476135161844
Heavily indebted poor countries (HIPC),HPC,1.6653366395256002
Croatia,HRV,13.6047139871854
Haiti,HTI,0.36904820033335606
Hungary,HUN,4.56246525249104
IBRD only,IBD,1.3623618926812602
IDA & IBRD total,IBT,1.42196947643195
IDA total,IDA,1.6029940688774398
IDA blend,IDB,1.6876529834138998
Indonesia,IDN,0.127675543243526
IDA only,IDX,1.56085118026297
Isle of Man,IMN,51.516290726817
India,IND,0.399752709149401
Not classified,INX,
Ireland,IRL,15.9169365666588
"Iran, Islamic Rep.",IRN,3.44639753479213
Iraq,IRQ,0.9715760982742
Iceland,ISL,11.390149502921801
Israel,ISR,24.9469000386407
Italy,ITA,9.6807677420957
Jamaica,JAM,0.8293670469170359
Jordan,JOR,40.9771116038916
Japan,JPN,1.6147750570279398
Kazakhstan,KAZ,20.1233050855632
Kenya,KEN,2.3547228854221203
Kyrgyz Republic,KGZ,3.44079642260338
Cambodia,KHM,0.47479445077927396
Kiribati,KIR,2.80458625014454
St. Kitts and Nevis,KNA,13.3934355430792
"Korea, Rep.",KOR,2.6391593543642897
Kuwait,KWT,73.6395507326993
Latin America & Caribbean (excluding high income),LAC,0.981475518739833
Lao PDR,LAO,0.327020358502169
Lebanon,LBN,34.1456803007755
Liberia,LBR,2.52649198234771
Libya,LBY,12.2824498704933
St. Lucia,LCA,6.90328055827329
Latin America & Caribbean,LCN,1.41373213447308
Least developed countries: UN classification,LDC,1.25091234931097
Low income,LIC,1.57107211480999
Liechtenstein,LIE,62.596253763555495
Sri Lanka,LKA,0.18685001841659699
Lower middle income,LMC,0.891268880071905
Low & middle income,LMY,1.3769026222767902
Lesotho,LSO,0.30781884214776195
Late-demographic dividend,LTE,2.06901434431499
Lithuania,LTU,4.72608962255138
Luxembourg,LUX,43.9641339422687
Latvia,LVA,13.353240264034099
"Macao SAR, China",MAC,58.321902771584995
St. Martin (French part),MAF,
Morocco,MAR,0.25746773813845897
Monaco,MCO,55.768466247912905
Moldova,MDA,3.51210659793059
Madagascar,MDG,0.132347777361949
Maldives,MDV,25.8721817536855
Middle East & North Africa,MEA,9.25582667673871
Mexico,MEX,0.9393647274168109
Marshall Islands,MHL,6.197044892721679
Middle income,MIC,1.35216298191598
"Macedonia, FYR",MKD,6.289774173387611
Mali,MLI,2.0633597379590802
Malta,MLT,9.8984880693625
Myanmar,MMR,0.13601460292319
Middle East & North Africa (excluding high income),MNA,3.28962157824629
Montenegro,MNE,13.1900776789324
Mongolia,MNG,0.595444478012824
Northern Mariana Islands,MNP,39.3099691301979
Mozambique,MOZ,0.7968013854381941
Mauritania,MRT,3.3966767332978702
Mauritius,MUS,2.24510921983142
Malawi,MWI,1.2498117945782
Malaysia,MYS,8.28934891611083
North America,NAC,15.2275859859335
Namibia,NAM,3.81840143482876
New Caledonia,NCL,24.4339041798737
Niger,NER,0.951072208218253
Nigeria,NGA,0.658124087599013
Nicaragua,NIC,0.66198270577991
Netherlands,NLD,11.695682741121098
Norway,NOR,14.2356111639164
Nepal,NPL,1.8176455528395101
Nauru,NRU,31.089806300137
New Zealand,NZL,22.95970035283
OECD members,OED,10.038381589142698
Oman,OMN,41.085873617455
Other small states,OSS,15.033918801346701
Pakistan,PAK,1.9208460607468798
Panama,PAN,4.70102752739085
Peru,PER,0.289645140800474
Philippines,PHL,0.210390539089137
Palau,PLW,26.6027899112301
Papua New Guinea,PNG,0.33837660862431196
Poland,POL,1.60418083655994
Pre-demographic dividend,PRE,1.5750339156048603
Puerto Rico,PRI,7.46549639203331
"Korea, Dem. People’s Rep.",PRK,0.19263521902745298
Portugal,PRT,8.0895935893659
Paraguay,PRY,2.35666668624757
West Bank and Gaza,PSE,5.473039752244099
Pacific island small states,PSS,2.08201123147697
Post-demographic dividend,PST,12.0885545704741
French Polynesia,PYF,10.6300660621578
Qatar,QAT,75.49762789355609
Romania,ROU,1.16313480315329
Russian Federation,RUS,8.11621785991527
Rwanda,RWA,3.80308098441419
South Asia,SAS,0.6542898273761121
Saudi Arabia,SAU,32.2949424946542
Sudan,SDN,1.2513445422804998
Senegal,SEN,1.7399514173615602
Singapore,SGP,45.391791910402695
Solomon Islands,SLB,0.442947201036342
Sierra Leone,SLE,1.41345729487955
El Salvador,SLV,0.6862716133936321
San Marino,SMR,14.8422013152513
Somalia,SOM,0.234455883618068
Serbia,SRB,9.12262208400769
Sub-Saharan Africa (excluding high income),SSA,1.8758065879956498
South Sudan,SSD,6.67856203968099
Sub-Saharan Africa,SSF,1.87686892023959
Small states,SST,12.3749185140506
Sao Tome and Principe,STP,1.2577228596646102
Suriname,SUR,8.62581150145034
Slovak Republic,SVK,3.2654178994069203
Slovenia,SVN,11.412964093317301
Sweden,SWE,16.767558750380598
Eswatini,SWZ,2.4537479506126805
Sint Maarten (Dutch part),SXM,70.4477997160924
Seychelles,SYC,13.258906821739199
Syrian Arab Republic,SYR,4.73013438841734
Turks and Caicos Islands,TCA,34.037100672704504
Chad,TCD,3.6827713707995295
East Asia & Pacific (IDA & IBRD countries),TEA,0.41542521889278905
Europe & Central Asia (IDA & IBRD countries),TEC,6.4792254373816505
Togo,TGO,3.79000676014412
Thailand,THA,5.75823265195895
Tajikistan,TJK,3.2429108962603097
Turkmenistan,TKM,3.65471158287463
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.3568498622798202
Timor-Leste,TLS,0.9144429486016209
Middle East & North Africa (IDA & IBRD countries),TMN,3.2630247051240997
Tonga,TON,5.39794668927192
South Asia (IDA & IBRD),TSA,0.6542898273761121
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.87686892023959
Trinidad and Tobago,TTO,3.66763032980219
Tunisia,TUN,0.503849717164906
Turkey,TUR,3.76900110251173
Tuvalu,TUV,1.42194433239209
Tanzania,TZA,0.48853553048582793
Uganda,UGA,1.92012616805897
Ukraine,UKR,10.786461155148402
Upper middle income,UMC,1.87665043036273
Uruguay,URY,2.09231674852946
United States,USA,14.4906535240608
Uzbekistan,UZB,3.91690323992971
St. Vincent and the Grenadines,VCT,4.1813597412800805
"Venezuela, RB",VEN,4.51473657184212
British Virgin Islands,VGB,57.469203439917706
Virgin Islands (U.S.),VIR,53.3638784092727
Vietnam,VNM,0.07789713082094
Vanuatu,VUT,1.2042229040400199
World,WLD,3.33804873729344
Samoa,WSM,2.55087254435175
Kosovo,XKX,
"Yemen, Rep.",YEM,1.2825292283920702
South Africa,ZAF,5.76709044891315
Zambia,ZMB,0.7890256503193019
Zimbabwe,ZWE,2.55638252510727
