country,country_code,mobile_phone_subscriptions_pct_pop
Aruba,ABW,135.133840005367
Afghanistan,AFG,58.420528226792
Angola,AGO,49.838041544826794
Albania,ALB,116.337512554082
Andorra,AND,91.43999794908609
,,
United Arab Emirates,ARE,196.001399123603
Argentina,ARG,142.434809806539
Armenia,ARM,118.770976533708
American Samoa,ASM,
Antigua and Barbuda,ATG,176.135624430812
Australia,AUS,108.279330925333
Austria,AUT,155.215524706184
Azerbaijan,AZE,111.225888184477
Burundi,BDI,49.0005265082697
Belgium,BEL,113.16582122158701
Benin,BEN,88.1051181018976
Burkina Faso,BFA,79.7702884229721
Bangladesh,BGD,81.4981401529021
Bulgaria,BGR,128.105415947511
Bahrain,BHR,183.62399816307098
"Bahamas, The",BHS,80.44064957424041
Bosnia and Herzegovina,BIH,97.3856894914848
Belarus,BLR,120.688975024911
Belize,BLZ,58.990559105787
Bermuda,BMU,61.2873570633679
Bolivia,BOL,94.7609188318
Brazil,BRA,125.175585210072
Barbados,BRB,117.794502088193
Brunei Darussalam,BRN,110.97901528468999
Bhutan,BTN,85.82156655058641
Botswana,BWA,157.311774368696
Central African Republic,CAF,27.330986999846
Canada,CAN,82.79621957440601
,,
Switzerland,CHE,135.138487619067
Channel Islands,CHI,
Chile,CHL,130.646679969088
China,CHN,92.4808728658819
Cote d'Ivoire,CIV,109.94932940611601
Cameroon,CMR,79.5316275943941
"Congo, Dem. Rep.",COD,49.54653171684689
"Congo, Rep.",COG,104.41087922928101
Colombia,COL,118.865890156643
Comoros,COM,54.6401963407356
Cabo Verde,CPV,114.740679998424
Costa Rica,CRI,156.735253081834
,,
Cuba,CUB,29.1006045317897
Curacao,CUW,120.555028162775
Cayman Islands,CYM,155.50255991194598
Cyprus,CYP,131.790179100937
Czech Republic,CZE,117.45430544367201
Germany,DEU,117.932453171631
Djibouti,DJI,33.8953261434483
Dominica,DMA,105.593067439381
Denmark,DNK,124.44416513805
Dominican Republic,DOM,83.5573497724344
Algeria,DZA,108.41732225562099
,,
,,
East Asia & Pacific,EAS,104.080922403486
,,
,,
Ecuador,ECU,80.1752722683229
"Egypt, Arab Rep.",EGY,100.25376907538799
,,
Eritrea,ERI,9.79992473657802
Spain,ESP,110.06539036103202
Estonia,EST,144.720946445773
Ethiopia,ETH,42.3654191016708
,,
,,
Finland,FIN,134.918749952116
Fiji,FJI,108.272272905086
France,FRA,103.450039662752
Faroe Islands,FRO,108.675584601246
"Micronesia, Fed. Sts.",FSM,21.549701722635604
Gabon,GAB,146.181304803969
United Kingdom,GBR,121.183993230279
Georgia,GEO,140.47061336335
Ghana,GHA,126.920980997556
Gibraltar,GIB,121.07339020684799
Guinea,GIN,89.02097029384109
"Gambia, The",GMB,137.32229633038202
Guinea-Bissau,GNB,69.9505683621703
Equatorial Guinea,GNQ,45.37527575976971
Greece,GRC,112.02418477776399
Grenada,GRD,112.117240669144
Greenland,GRL,108.200152544477
Guatemala,GTM,111.499579539772
Guam,GUM,
Guyana,GUY,70.603528367733
,,
"Hong Kong SAR, China",HKG,230.818798622797
Honduras,HND,89.8174488097028
,,
Croatia,HRV,104.240871611439
Haiti,HTI,68.1538458234903
Hungary,HUN,120.46091931407899
,,
,,
,,
,,
Indonesia,IDN,131.292828394227
,,
Isle of Man,IMN,
India,IND,76.4717128013315
,,
Ireland,IRL,104.29568943855999
"Iran, Islamic Rep.",IRN,93.5211183872901
Iraq,IRQ,92.9209385106163
Iceland,ISL,116.25348606934901
Israel,ISR,131.067498273617
Italy,ITA,147.36979963704098
Jamaica,JAM,109.236946252943
Jordan,JOR,150.64431765652
Japan,JPN,125.461837619826
Kazakhstan,KAZ,148.224347885659
Kenya,KEN,79.8453239067895
Kyrgyz Republic,KGZ,129.222861318433
Cambodia,KHM,134.36675756325002
Kiribati,KIR,36.474596777780704
St. Kitts and Nevis,KNA,134.484600648394
"Korea, Rep.",KOR,116.487082907737
Kuwait,KWT,148.54270828198798
,,
Lao PDR,LAO,55.93007888544471
Lebanon,LBN,79.59784184477121
Liberia,LBR,81.162391232506
Libya,LBY,156.329596604947
St. Lucia,LCA,105.94505829373699
,,
,,
,,
Liechtenstein,LIE,109.483196535037
Sri Lanka,LKA,115.378950702036
,,
,,
Lesotho,LSO,98.41335022497921
,,
Lithuania,LTU,142.706637207078
Luxembourg,LUX,142.357796594917
Latvia,LVA,129.976819964038
"Macao SAR, China",MAC,315.52079901221697
St. Martin (French part),MAF,
Morocco,MAR,123.780413835208
Monaco,MCO,88.8088338945885
Moldova,MDA,91.32206749664292
Madagascar,MDG,44.1269545608648
Maldives,MDV,176.812785759184
,,
Mexico,MEX,85.5409247888027
Marshall Islands,MHL,29.248594180473297
,,
"Macedonia, FYR",MKD,100.20559724677601
Mali,MLI,129.946407425504
Malta,MLT,122.577499438749
Myanmar,MMR,78.2268069817783
,,
Montenegro,MNE,160.446561324975
Mongolia,MNG,103.06626709803601
Northern Mariana Islands,MNP,
Mozambique,MOZ,71.8830249492952
Mauritania,MRT,87.13978606718099
Mauritius,MUS,139.925491640835
Malawi,MWI,37.3668706714563
Malaysia,MYS,143.552965182124
,,
Namibia,NAM,105.122773659372
New Caledonia,NCL,96.7245281336054
Niger,NER,45.026967680749294
Nigeria,NGA,83.24795074276359
Nicaragua,NIC,119.43619199823699
Netherlands,NLD,122.85063747384
Norway,NOR,109.90519701006001
Nepal,NPL,96.021022545772
Nauru,NRU,83.4813499111901
New Zealand,NZL,121.35575178588002
,,
Oman,OMN,158.26084989558998
,,
Pakistan,PAK,66.4797217018839
Panama,PAN,144.66033750969
Peru,PER,109.112308313396
Philippines,PHL,115.84967763150101
Palau,PLW,111.53231867718901
Papua New Guinea,PNG,44.950488173665505
Poland,POL,142.524259493463
,,
Puerto Rico,PRI,87.2408899080171
"Korea, Dem. People’s Rep.",PRK,12.834775205448501
Portugal,PRT,112.441554534911
Paraguay,PRY,111.64110780361099
West Bank and Gaza,PSE,75.725666776184
Pacific island small states,PSS,79.6626430395207
,,
French Polynesia,PYF,96.6307753250027
Qatar,QAT,150.731824081749
Romania,ROU,116.31755719445499
Russian Federation,RUS,157.961804793678
Rwanda,RWA,75.3220609596947
South Asia,SAS,76.313723012968
Saudi Arabia,SAU,167.30305505466498
Sudan,SDN,72.29002642142429
Senegal,SEN,99.8830406154933
Singapore,SGP,148.73912020786003
