country,country_code,use_internet_pct_pop_resid
Aruba,ABW,11.512051912100034
Afghanistan,AFG,-4.640601065050662
Angola,AGO,-17.409738019173844
Albania,ALB,20.563297724677646
Arab World,ARB,-12.192291685130272
United Arab Emirates,ARE,3.7808029505660414
Argentina,ARG,9.388164290172185
Armenia,ARM,24.114281193877915
Antigua and Barbuda,ATG,9.890051927747479
Australia,AUS,2.855317800916737
Austria,AUT,0.8297172569736517
Azerbaijan,AZE,22.46071126023908
Burundi,BDI,-4.115511064700323
Belgium,BEL,3.7026755047059083
Benin,BEN,-2.3067951427298627
Burkina Faso,BFA,-0.776503691542425
Bangladesh,BGD,-3.2249529044939305
Bulgaria,BGR,1.4423090609535976
Bahrain,BHR,11.532810596405696
"Bahamas, The",BHS,7.608486507273554
Bosnia and Herzegovina,BIH,9.936454334409277
Belarus,BLR,11.831199878354589
Belize,BLZ,7.208909048290089
Bolivia,BOL,6.157070103668726
Brazil,BRA,7.465235117922468
Barbados,BRB,21.993550337082908
Brunei Darussalam,BRN,-16.166537814273923
Bhutan,BTN,6.3074600828187215
Botswana,BWA,-14.1884900071136
Central African Republic,CAF,-4.851369015266752
Canada,CAN,7.472987040101344
Central Europe and the Baltics,CEB,1.749478572903584
Switzerland,CHE,1.4073517504058657
Chile,CHL,14.628302724777754
China,CHN,1.6532881962646258
Cote d'Ivoire,CIV,20.430585433937686
Cameroon,CMR,2.5035480813432684
"Congo, Dem. Rep.",COD,-5.542073464056738
"Congo, Rep.",COG,-18.410933825988614
Colombia,COL,8.664065989418297
Comoros,COM,-7.90739200059185
Cabo Verde,CPV,15.375796265826285
Costa Rica,CRI,8.83396828979842
Caribbean small states,CSS,-0.23051397768907123
Cayman Islands,CYM,-7.419255488425662
Cyprus,CYP,-0.04149556485131711
Czech Republic,CZE,2.123992798548855
Germany,DEU,5.22198820388607
Dominica,DMA,24.899271830335152
Denmark,DNK,13.636486413850648
Dominican Republic,DOM,5.942771854078309
Algeria,DZA,-10.76142923793114
East Asia & Pacific (excluding high income),EAP,-0.3369367625970696
Early-demographic dividend,EAR,-4.815514403401689
East Asia & Pacific,EAS,-1.8637226098862385
Europe & Central Asia (excluding high income),ECA,2.0010635609291256
Europe & Central Asia,ECS,-0.7383102676582496
Ecuador,ECU,6.755514613395157
"Egypt, Arab Rep.",EGY,-2.7020386838066273
Euro area,EMU,-1.4662810067768248
Spain,ESP,4.010968610441864
Estonia,EST,19.712824378513176
Ethiopia,ETH,1.9177162969985933
European Union,EUU,0.40503711917079954
Fragile and conflict affected situations,FCS,-4.1576500464130675
Finland,FIN,6.74846397712561
Fiji,FJI,6.576959948101937
France,FRA,-0.7840316523663233
"Micronesia, Fed. Sts.",FSM,13.387177597933444
Gabon,GAB,-8.997274709881935
United Kingdom,GBR,12.602655119360833
Georgia,GEO,9.917134268864686
Ghana,GHA,11.39328480470207
Guinea,GIN,-4.544176957625664
"Gambia, The",GMB,4.4568350661893295
Guinea-Bissau,GNB,-8.085934196293794
Equatorial Guinea,GNQ,-48.06448085642221
Greece,GRC,0.2360107875624351
Grenada,GRD,6.921814860139634
Guatemala,GTM,-3.1676243532470707
Guyana,GUY,2.751542642281642
High income,HIC,-1.6702869898649482
"Hong Kong SAR, China",HKG,-0.13745357675306025
Honduras,HND,5.831310570977834
Heavily indebted poor countries (HIPC),HPC,-0.04183836947487585
Croatia,HRV,7.525325852214969
Haiti,HTI,-0.16313326989915744
Hungary,HUN,6.880144996019482
IBRD only,IBD,-1.612429316678572
IDA & IBRD total,IBT,-2.762969567560148
IDA total,IDA,-1.5286174079633845
IDA blend,IDB,-2.9034534849017675
Indonesia,IDN,-19.224105764256507
IDA only,IDX,-0.7658865683781588
India,IND,-0.7612126085928139
Ireland,IRL,-3.0250389795165518
"Iran, Islamic Rep.",IRN,-8.853884025869803
Iraq,IRQ,-33.70943268469905
Iceland,ISL,15.955794119212527
Israel,ISR,1.8494626487119916
Italy,ITA,-17.920256666049397
Jamaica,JAM,7.550176232802137
Jordan,JOR,24.14693692205688
Japan,JPN,12.169935722415303
Kazakhstan,KAZ,6.1346017798181975
Kenya,KEN,0.023008084088996128
Kyrgyz Republic,KGZ,12.251756487072676
Cambodia,KHM,4.144185784221545
Kiribati,KIR,-0.43113643002435076
St. Kitts and Nevis,KNA,8.470756528829241
"Korea, Rep.",KOR,14.920510612172492
Kuwait,KWT,-9.343921566945312
Latin America & Caribbean (excluding high income),LAC,4.1409155915625675
Lao PDR,LAO,-8.555706172150458
Lebanon,LBN,25.988356178527454
Liberia,LBR,-4.903078393700549
Libya,LBY,-32.11224194024987
St. Lucia,LCA,-2.5441028931442986
Latin America & Caribbean,LCN,4.2926299697774155
Least developed countries: UN classification,LDC,-1.9307024019291052
Low income,LIC,-1.5410340421443554
Sri Lanka,LKA,-13.00907254512138
Lower middle income,LMC,-0.9922683039001754
Low & middle income,LMY,-2.6817406237283947
Lesotho,LSO,8.851945418460712
Late-demographic dividend,LTE,2.104466000753
Lithuania,LTU,2.451052377539014
Luxembourg,LUX,6.362167612069555
Latvia,LVA,14.873091988268428
"Macao SAR, China",MAC,-12.96296748835006
Morocco,MAR,25.09226362704959
Moldova,MDA,45.72450338085732
Madagascar,MDG,-7.203699963914228
Maldives,MDV,5.368374583305645
Middle East & North Africa,MEA,-11.645904880342819
Mexico,MEX,3.7749301580721877
Marshall Islands,MHL,-0.2173885113630334
Middle income,MIC,-2.26344840519247
"Macedonia, FYR",MKD,22.996178335274422
Mali,MLI,-2.989342062723363
Malta,MLT,0.6246594441603008
Myanmar,MMR,-2.6243387126824054
Middle East & North Africa (excluding high income),MNA,-5.065463364252778
Montenegro,MNE,16.041020455745183
Mongolia,MNG,-21.301936286151765
Mozambique,MOZ,6.4875931321406615
Mauritania,MRT,-4.076826821330023
Mauritius,MUS,-8.13877404787965
Malawi,MWI,-1.041397594236825
Malaysia,MYS,4.525128546988498
North America,NAC,-8.691752287904734
Namibia,NAM,-14.519173038832399
Niger,NER,-7.21194227198875
Nigeria,NGA,-2.013674113696304
Nicaragua,NIC,-4.299921972684363
Netherlands,NLD,8.731810120768259
Norway,NOR,10.939371638825193
Nepal,NPL,2.8545306561472596
New Zealand,NZL,11.268121999701933
OECD members,OED,-2.616142270614972
Oman,OMN,-6.356008317327095
Other small states,OSS,-21.452769055865218
Pakistan,PAK,-9.098085467112572
Panama,PAN,-9.980209429334813
Peru,PER,-3.7559844753263576
Philippines,PHL,23.133637734099477
Papua New Guinea,PNG,-12.158758920919146
Poland,POL,1.5223717946736457
Pre-demographic dividend,PRE,-3.8195296977860096
Puerto Rico,PRI,-13.297707506788882
Portugal,PRT,-0.9631441537477343
Paraguay,PRY,6.563988873433956
West Bank and Gaza,PSE,34.26427978734578
Pacific island small states,PSS,2.8389226227799433
Post-demographic dividend,PST,-1.8298046591639974
Qatar,QAT,-0.148636399079507
Romania,ROU,-4.707845199714605
Russian Federation,RUS,5.751957948017136
Rwanda,RWA,5.340210349436948
South Asia,SAS,-2.0994398755265706
Saudi Arabia,SAU,-14.704268529003187
Sudan,SDN,4.922994324810091
Senegal,SEN,4.809001783660175
Singapore,SGP,-9.13436978302542
Solomon Islands,SLB,-4.139188191363514
Sierra Leone,SLE,-4.8071945032564
El Salvador,SLV,-4.252768351469928
Serbia,SRB,17.601543671911877
Sub-Saharan Africa (excluding high income),SSA,-0.9430710283113513
South Sudan,SSD,-7.662713063286766
Sub-Saharan Africa,SSF,-0.9466590464999172
Small states,SST,-17.417709681734046
Sao Tome and Principe,STP,8.848394170704658
Suriname,SUR,-7.988430085465467
Slovak Republic,SVK,8.049739381468271
Slovenia,SVN,1.3974050241167646
Sweden,SWE,8.210957384388294
Eswatini,SWZ,-7.888648131240721
Seychelles,SYC,-12.10188833136808
Chad,TCD,-10.346993732553997
East Asia & Pacific (IDA & IBRD countries),TEA,-0.6233128658044222
Europe & Central Asia (IDA & IBRD countries),TEC,1.8559911763361612
Togo,TGO,-4.51464851678598
Thailand,THA,-12.600024977962597
Tajikistan,TJK,3.094391792959607
Turkmenistan,TKM,-36.417518169296216
Latin America & the Caribbean (IDA & IBRD countries),TLA,4.680797665251923
Timor-Leste,TLS,-9.32864942416687
Middle East & North Africa (IDA & IBRD countries),TMN,-5.49950596489964
Tonga,TON,13.841364044554055
South Asia (IDA & IBRD),TSA,-2.0994398755265706
Sub-Saharan Africa (IDA & IBRD countries),TSS,-0.9466590464999172
Trinidad and Tobago,TTO,-4.431032773627379
Tunisia,TUN,4.274591344692176
Turkey,TUR,-10.724110987014718
Tuvalu,TUV,24.06526655007707
Tanzania,TZA,-5.354775207121035
Uganda,UGA,5.421300090215823
Ukraine,UKR,16.333881105600554
Upper middle income,UMC,0.5202569471070646
Uruguay,URY,4.830916339009313
United States,USA,-10.404635536116956
Uzbekistan,UZB,16.23242464374669
St. Vincent and the Grenadines,VCT,10.385097487514656
Vietnam,VNM,17.431939002598483
Vanuatu,VUT,5.8773792261639315
World,WLD,-7.9630282287889
Samoa,WSM,-0.6778531639370904
"Yemen, Rep.",YEM,6.714938002553762
South Africa,ZAF,5.906934871203653
Zambia,ZMB,1.6341871125874228
Zimbabwe,ZWE,8.433473612878295
